"Species","Limb_Width","Limb_Length","Observer","Volume"
"Species C",9.49593575023822,31.0730472716712,"Haha",2200.64131470657
"Species D",9.9246674029432,27.1579453213904,"Hehe",2100.96449918565
"Species E",11.7014947032995,44.1670144556521,"Hehe",4749.74840401431
"Species D",10.3906678218757,30.2420062397472,"Hoho",2564.40964886958
"Species E",10.6152684583042,26.0414793514376,"Haha",2304.7164249067
"Species D",9.03107062094908,23.1971585019739,"Haha",1485.94641344379
"Species A",10.0141306678351,29.3683142462978,"Hehe",2313.10532163299
"Species A",10.1723340483747,26.0499867074749,"Hoho",2117.08655646781
"Species E",10.1052831139481,24.8299687974924,"Haha",1991.4207405463
"Species D",10.4323109802802,28.8776752975514,"Hoho",2468.38648249267
"Species C",8.54294366032206,31.485447938173,"Hehe",1804.74082324652
"Species B",9.88097555603081,26.7611596113112,"Haha",2052.08081194583
"Species A",8.89324011352339,34.1996319990371,"Haha",2124.37582574733
"Species E",9.77943265024547,36.7123112425856,"Hehe",2757.58512780445
"Species C",9.75672066710653,30.0086244972721,"Haha",2243.59112471667
"Species D",8.88545912380789,21.9400402535211,"Hehe",1360.46398079788
"Species D",8.69472151314604,29.902232408748,"Haha",1775.4352846693
"Species D",9.10730608102888,32.2734394177784,"Hoho",2102.39830594975
"Species B",9.77074289717185,34.8555875406507,"Hehe",2613.46964599809
"Species C",11.5529650701888,32.6134928664053,"Haha",3418.80330905611
"Species D",11.0368860512913,26.9267049161935,"Haha",2576.1207153749
"Species D",10.8337951554538,22.2500333220389,"Hoho",2051.07615888814
"Species C",8.56181817256712,27.6216807227057,"Hehe",1590.27409060657
"Species A",8.91904006595053,39.0434498968359,"Hehe",2439.3510026361
"Species A",8.7559255639026,32.1448421179923,"Hehe",1935.55403542142
"Species C",10.7408351113757,30.6526749935559,"Hoho",2777.37396993889
"Species D",10.2689105276576,31.6412204345768,"Hehe",2620.54636178232
"Species B",8.79431724031773,29.9730853702373,"Hoho",1820.64632173644
"Species C",10.065037602589,33.1084615420406,"Hoho",2634.26635820201
"Species B",10.4259915508739,22.1872388375756,"Haha",1894.20891850981
"Species C",9.18235803507196,28.7184340057875,"Haha",1901.77476800452
"Species B",10.508384860187,31.9833825140654,"Haha",2773.87070281001
"Species B",8.58709153960416,32.1229877807877,"Hoho",1860.36430900557
"Species A",9.25683503240758,29.7067335242812,"Haha",1999.26254688217
"Species B",10.1942811772078,29.8415788201552,"Hehe",2435.70615736585
"Species D",11.9665617512357,31.1775150416487,"Haha",3506.47019130079
"Species E",10.1144878545105,18.1162816603007,"Hoho",1455.61572971147
"Species E",8.40690540975418,32.0096175612618,"Hoho",1776.81695080192
"Species B",8.18600291632137,34.5084758385566,"Hoho",1816.18234384694
"Species A",11.1719505788096,27.2258622725228,"Hehe",2668.88300572999
"Species B",12.2686979393443,34.3472828655582,"Hehe",4060.49720826752
"Species A",11.8094955410974,25.0404082028769,"Hehe",2742.79897675131
"Species D",9.84088510385416,24.9147968740066,"Hoho",1895.02766596875
"Species B",8.51882510164746,27.8305270673937,"Haha",1586.24664478314
"Species B",10.6360974374796,31.0899306674798,"Haha",2762.32166371394
"Species B",8.78226199057477,29.9427486332384,"Hehe",1813.82057215539
"Species D",11.072740667305,20.3153223002916,"Hoho",1956.24774880509
"Species A",9.84666497652828,34.5186132963116,"Haha",2628.58209573698
"Species C",11.124534822016,32.7542180726592,"Hehe",3183.61716140355
"Species D",11.6601094726341,30.4546134491736,"Hehe",3251.98271556591
"Species E",9.89721721028823,27.7407398951303,"Haha",2134.1951320924
"Species E",9.81235232203033,36.8487551982689,"Hoho",2786.49950280477
">>>>>>> 07ae5197fe6bba80ec287b5f6767c3013aff3cb3",NA,NA,"",NA
